OBJECTID,STREET_NAME,LENGTH_MILES,STATUS,COMPKEY,CATALYTIC_PROJECTS,NETWORK,DATE_COMPLETED,EXISTING_FACILITY_TYPE,PLANNED_FACILITY_TYPE,PROJECT_NUMBER,DATE_PLANNED,DATE_EXPIRED,SHAPE_Length
40304,CHIEF SEALTH TRL,0.11587419,MEETS,603095,0,LOCAL,2010-12-31T00:00:00.000Z,Multi-use Trail,,,,,611.815729634605
40305,S LANDER ST,0.04355523,,20625,,,2009-12-31T00:00:00.000Z,Sharrow,,,,,229.971589366191
40306,S LANDER ST,0.00756138,,20631,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,39.9240710743221
40307,S LANDER ST,0.03598384,,20629,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,189.994682515856
40308,S LANDER ST,0.02845137,,20632,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,150.223238849056
40309,S LANDER ST,0.07004907,,20633,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,369.859094901304
40310,CHIEF SEALTH TRL,0.22353719,MEETS,286923,0,LOCAL,2007-12-31T00:00:00.000Z,Multi-use Trail,,0,,,1180.27637898725
40311,17TH AVE NW,0.12501473,MEETS,2452,0,CITYWIDE,2015-12-31T00:00:00.000Z,Neighborhood Greenway,,150,,,660.077781823915
40312,NE 125TH ST,0.06942823,UPGRADE,16499,0,CITYWIDE,2011-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",620,,,366.581056227523
40313,N 50TH ST,0.05828462,UPGRADE,15640,0,CITYWIDE,1990-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",598,,,307.742792978274
40314,BEACON WR AVE S,0.01762474,MEETS,275063,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,93.0586255281925
40315,51ST AVE S,0.12447393,MEETS,7532,0,LOCAL,2008-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,657.222352162859
40316,NW 65TH ST,0.04999245,MEETS,18635,0,LOCAL,2012-12-31T00:00:00.000Z,Sharrow,,0,,,263.960138123956
40317,CALIFORNIA AVE SW,0.0697383,MEETS,9584,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,,0,,,368.218233006443
40319,DEXTER AVE N,0.0916058,MEETS,10075,0,CITYWIDE,2015-12-31T00:00:00.000Z,"In Street, Major Separation",,413,,,483.678633995739
40320,35TH AVE NE,0.13705013,UPGRADE,5395,0,CITYWIDE,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",243,,,723.624707213504
40323,FREMONT BR,0.04279621,MEETS,10563,0,CITYWIDE,2007-12-31T00:00:00.000Z,Multi-use Trail,,0,,,225.964003444687
40324,S LUCILE ST,0.04915553,MEETS,20700,0,LOCAL,2009-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,259.541221223225
40327,15TH AVE S,0.07912287,MEETS,2160,0,LOCAL,2011-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,417.768752472833
40328,SW THISTLE ST,0.06293728,UPGRADE,22895,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",833,,,332.30883733822
40329,BEACON ER AVE S,0.03169004,MEETS,167595,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,167.323429663731
40330,2ND AVE,0.05798288,MEETS,2749,0,CITYWIDE,2014-12-31T00:00:00.000Z,"In Street, Major Separation",,215,,,306.14960094965
40331,12TH AVE NE,0.10227963,MEETS,1565,0,LOCAL,2014-12-31T00:00:00.000Z,Neighborhood Greenway,,118,,,540.036447145732
40332,EAST MARGINAL WAY S,0.04834225,UPGRADE,14386,0,CITYWIDE,2000-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",460,,,255.247065275893
40333,S COLUMBIAN WAY,0.06830107,UPGRADE,19702,0,CITYWIDE,2011-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",710,,,360.629647308273
40334,12TH AVE E,0.07934182,UPGRADE,1553,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",115,,,418.924808926765
40338,12TH AVE NE,0.10099776,MEETS,1567,0,LOCAL,2014-12-31T00:00:00.000Z,Neighborhood Greenway,,118,,,533.268195976501
40339,16TH AVE SW,0.12523615,MEETS,2340,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,661.246850711055
40342,S GENESEE ST,0.04556827,,20095,,,2012-12-31T00:00:00.000Z,Sharrow,,,,,240.600460840655
40343,S ALASKA ST,0.15017298,,19312,,,,"In Street, Minor Separation",,,,,792.913337025166
40345,CORSON AVE S,0.06411506,UPGRADE,9836,0,LOCAL,2011-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",403,,,338.527503871739
40346,QUEEN ANNE AVE N,0.08385247,UPGRADE,12312,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",686,,,442.741051763443
40347,ROOSEVELT WAY NE,0.02382659,UPGRADE,12654,0,LOCAL,2010-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",707,,,125.804400978909
40348,SPRING ST,0.05987104,UPGRADE,12857,0,CITYWIDE,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",784,,,316.119072296092
40349,N 50TH ST,0.08748294,UPGRADE,15646,0,CITYWIDE,2000-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",598,,,461.90994226268
40350,NE 125TH ST,0.04421173,UPGRADE,16493,0,CITYWIDE,2011-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",619,,,233.437959075319
40351,35TH AVE NE,0.06317959,UPGRADE,5383,0,CITYWIDE,2009-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",241,,,333.588227005286
40352,4TH AVE,0.01867979,UPGRADE,6120,0,CITYWIDE,2008-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",298,,,98.6292930049474
40353,4TH AVE,0.05795242,UPGRADE,6143,0,CITYWIDE,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",297,,,305.988801525117
40355,BROAD ST,0.06099201,UPGRADE,9411,0,CITYWIDE,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",383,,,322.037795016974
40356,BROADWAY E,0.0807093,UPGRADE,9451,0,CITYWIDE,2008-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",385,,,426.145107353472
40357,FAUNTLEROY WAY SW,0.04711807,UPGRADE,10402,0,CITYWIDE,2009-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",475,,,248.783431223018
40358,FAUNTLEROY WAY SW,0.03321333,UPGRADE,10414,0,CITYWIDE,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",476,,,175.366359150439
